Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-06T13:45:14.329,6,-0.005302460108848864,-2.713546802490735,FoVP,0.21371880015348543,0.705266719896967,2458156.070224269
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-06T15:31:48.444,7,-0.004709092639427574,-2.7190394758194705,FoVF,0.21664928194723115,0.7048470610957529,2458156.1442330666
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-06T19:45:28.286,5,-0.003221103240421705,-2.7321046012097177,FoVP,0.2236244317312173,0.7038012986756924,2458156.320395419
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-06T21:32:02.441,6,-0.002564031448307923,-2.73758954793629,FoVF,0.22655451151566117,0.7033422885733785,2458156.3944047024
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-07T01:45:42.382,4,-9.234402613997747E-4,-2.7506352950778754,FoVP,0.23352752267490293,0.7022029796136474,2458156.5705682645
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-07T03:32:16.581,5,-2.018526036243401E-4,-2.756111680981492,FoVF,0.23645621026255403,0.7017047296526154,2458156.6445780788
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-07T07:45:56.632,2,0.0015932638926715475,-2.7691360361396242,FoVP,0.24342474250281182,0.700472195330056,2458156.8207429606
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-07T09:32:30.879,3,0.0023801718879144862,-2.774603003495453,FoVF,0.24635106264768097,0.6999348641825793,2458156.8947533523
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-07T13:46:11.049,1,0.00433171928538052,-2.7876038973698734,FoVP,0.2533128166083,0.6986095394466363,2458157.0709196627
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-07T15:32:45.348,2,0.005184744092611815,-2.7930605652730502,FoVF,0.25623581354127806,0.6980333341333264,2458157.144930678
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-03-24T01:21:42.837,6,-0.004187232130657081,-2.339528949642819,FoVP,-0.6780883334950766,0.7133375984857886,2458201.5566177326
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-04-26T12:50:21.749,3,2.46388153117127E-4,2.0540901635555033,FoVP,0.6747764192633392,0.7143870583838939,2458235.0373987267
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-05-16T20:36:56.376,4,3.8572514813827076E-4,-3.0879205409890385,FoVF,-0.5333170029832935,0.7197940128230671,2458255.362786366
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-08-24T03:46:30.282,6,-0.0045689797812005165,-0.0712380291628995,FoVP,0.43122099786003737,0.7209691720436133,2458354.6616444862
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-08-24T05:33:04.520,5,-5.038199391003465E-4,-0.06790722222934521,FoVF,0.4281971211976041,0.7232915470371432,2458354.735647967
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-09-09T11:37:46.269,3,0.003296782335431582,0.9278152568069241,FoVF,-0.5944537947223941,0.7168964098477132,2458370.9879330383
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-10-15T21:07:37.430,4,-0.0016856262397627495,-0.9593657576853253,FoVP,0.706677132211657,0.7182969263727454,2458407.3809577357
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-10-15T22:54:11.643,3,0.0035864331369689128,-0.9605554802951787,FoVF,0.7068981195369998,0.7179773348260182,2458407.4549591094
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-11-21T04:27:43.329,1,0.006603374356174862,-0.007817054822112635,FoVF,-0.5057101104635443,0.7038877724606335,2458443.684022168
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-11-21T10:27:57.654,6,-0.003001539849911746,-0.023754537507442358,FoVF,-0.49618735277871423,0.708755125437869,2458443.934173283
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-12-08T14:50:33.024,6,-0.005197487994603234,-1.268556291127942,FoVP,0.252019321871094,0.7116501723616825,2458461.1156662884
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-12-08T16:37:07.160,6,-0.003124195510871701,-1.2736907083586533,FoVF,0.2544780002795873,0.7102773872574913,2458461.1896694764
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-12-08T20:50:47.153,2,0.0018555040232871235,-1.2858944295998567,FoVP,0.2602905372254552,0.7069834982462787,2458461.3658196493
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-12-08T22:37:21.414,2,0.00396616595613908,-1.2910140836885367,FoVF,0.26271592978608516,0.7055888164186076,2458461.4398243027
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2019-02-08T22:33:57.814,2,0.004211359626562823,-2.1059453673433417,FoVF,-0.2635461866084508,0.704902557258414,2458523.437476808
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2019-02-09T02:47:37.903,4,-8.637929873942099E-4,-2.1180663168012965,FoVP,-0.2578294315941953,0.7081984972615288,2458523.6136424635
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2019-02-09T04:34:12.078,6,-0.002977462947347662,-2.123165938840251,FoVF,-0.2554113016694788,0.7095726359125014,2458523.6876521693
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2019-02-26T14:56:43.668,7,-0.006908743035669159,2.902641876573555,FoVP,0.49815359804635595,0.7087408205292658,2458541.120844639
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2019-02-26T16:43:17.789,7,-0.0040983797336639725,2.897936781962479,FoVF,0.5009567875194093,0.7073137692131175,2458541.1948550506
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2019-02-26T20:56:57.782,2,0.0027002880663942147,2.8868042571360775,FoVP,0.50758487266708,0.7039028230205081,2458541.3710228363
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2019-02-26T22:43:32.058,1,0.0056023509793685245,2.8821557993564126,FoVF,0.5103510602429786,0.7024644240961428,2458541.4450350637
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2019-04-04T04:17:18.480,1,0.006757432425397785,-2.4402755780818572,FoVF,-0.7089470056444535,0.7161519214319653,2458577.6793867303
